Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
226630073,2020.09.21 20:49:14,buy,0.04,xauusd-e,1909.18,1904,1935,2020.09.21 21:18:51,1902.179,0,0,0,-28.01
226714227,2020.09.23 21:24:26,buy,0.05,xauxag-e,81.773,0,82,2020.09.23 22:07:07,82.005,0,0,0,26.11
226753678,2020.09.24 18:11:28,buy,0.01,btcusd-e,10419.6,0,10500,2020.09.24 18:24:01,10444.4,0,0,0,24.8
226753937,2020.09.24 18:11:28,buy,0.02,btcusd-e,10419.6,0,10503,2020.09.24 18:46:54,10503.3,0,0,0,167.4
226797493,2020.09.25 19:16:46,buy,0.1,eurjpy-e,122.672,0,124,2020.09.28 16:05:56,123.062,0,0,0,36.78
226797976,2020.09.25 19:31:12,buy,0.5,us2000usd-e,1459.941,0,1480,2020.09.25 19:53:26,1465.51,0,0,0,278.45
226798566,2020.09.25 19:31:12,buy,0.38,us2000usd-e,1459.941,0,1480,2020.09.25 20:26:27,1467.285,0,0,0,279.07
226798959,2020.09.25 19:31:12,buy,0.56,us2000usd-e,1459.941,0,1480,2020.09.25 20:32:37,1468.91,0,0,0,502.26
226799145,2020.09.25 19:31:12,buy,0.56,us2000usd-e,1459.941,0,1480,2020.09.28 01:50:12,1480.035,0,0,0,1 125.27
226825404,2020.09.28 00:03:46,buy,0.5,usdjpy-e,105.561,0,106,2020.09.28 16:05:42,105.503,0,0,0,-27.63
226842834,2020.09.28 20:13:54,buy,0.03,nas100usd-e,11287.5,11206,11500,2020.09.28 20:47:44,11336.4,0,0,0,146.7
226843193,2020.09.28 20:13:54,buy,0.02,nas100usd-e,11287.5,11206,11500,2020.09.28 23:54:12,11412.8,0,0,0,250.6
226845053,2020.09.28 20:13:54,buy,0.03,nas100usd-e,11287.5,11240,11600,2020.09.29 22:45:57,11328.3,0,0,0,122.4
226884659,2020.09.28 20:13:54,buy,0.02,nas100usd-e,11287.5,11240,11600,2020.09.30 04:13:07,11351.6,0,0,0,128.2
226884846,2020.09.30 09:00:05,buy,0.03,fr40eur-e,4793.9,4760,5000,2020.09.30 21:21:20,4828.8,0,0,0,122.74
226884919,2020.09.29 23:20:29,buy,1,audjpy-e,75.332,74.95,76,2020.09.30 04:13:16,75.398,0,0,0,62.11
226926573,2020.09.30 09:00:05,buy,0.03,fr40eur-e,4793.9,4760,5000,2020.09.30 21:54:44,4803.9,0,0,0,34.97
226926635,2020.09.30 21:23:52,buy,0.03,us30usd-e,27953.5,0,27960,2020.09.30 21:32:10,27839.5,0,0,0,-342
226926806,2020.09.30 21:30:44,sell,0.8,us30usd-e,27855.3,0,27850,2020.09.30 21:31:12,27849.8,0,0,0,440
226926826,2020.09.30 21:23:52,buy,0.01,us30usd-e,27953.5,0,27960,2020.09.30 21:41:58,27816.8,0,0,0,-136.7
226926862,2020.09.30 21:35:24,sell,0.9,us30usd-e,27840.3,0,27845,2020.09.30 21:37:06,27844.3,0,0,0,-360
226926900,2020.09.30 21:38:29,sell,0.95,us30usd-e,27848.3,0,27845,2020.09.30 21:38:35,27844.8,0,0,0,332.5
226926939,2020.09.30 21:41:16,buy,1.59,us30usd-e,27814.3,0,27815,2020.09.30 21:41:20,27815.2,0,0,0,143.1
226926946,2020.09.30 21:23:52,buy,0.46,us30usd-e,27953.5,0,27780,2020.09.30 21:44:50,27780.8,0,0,0,-7 944.20
226927068,2020.09.30 21:46:29,sell,1,us30usd-e,27771,0,27770,2020.09.30 21:46:49,27769.3,0,0,0,170
226927088,2020.09.30 21:48:39,sell,1.5,us30usd-e,27725.8,0,27719,2020.09.30 21:49:07,27718.3,0,0,0,1 125.00
226927135,2020.09.30 21:51:03,sell,2,us30usd-e,27731.8,0,27730,2020.09.30 21:54:16,27730,0,0,0,360
226927485,2020.09.30 22:11:51,sell,0.8,us30usd-e,27743.3,0,27730,2020.09.30 22:11:52,27729.5,0,0,0,1 104.00
226927885,2020.09.30 22:33:36,sell,0.6,us30usd-e,27668.3,0,27666,2020.09.30 22:33:39,27665.8,0,0,0,150
226928342,2020.09.30 23:04:55,sell,0.8,us30usd-e,27701,0,27692,2020.09.30 23:04:59,27692,0,0,0,720
226928361,2020.09.30 23:05:55,sell,0.95,us30usd-e,27696.2,0,27693,2020.09.30 23:09:30,27692.5,0,0,0,351.5
226954620,2020.10.01 05:39:05,sell,1,us30usd-e,27986.6,0,27986,2020.10.01 05:39:39,27985.4,0,0,0,120
226954632,2020.10.01 05:41:00,sell,1.5,us30usd-e,27989.6,0,27988.7,2020.10.01 05:57:15,27987.9,0,0,0,255
226954855,2020.10.01 06:03:29,buy,1.09,us30usd-e,27989.1,0,27991,2020.10.01 06:04:33,27991.1,0,0,0,218
226954951,2020.10.01 06:13:20,buy,1.09,us30usd-e,27998.1,0,27999,2020.10.01 06:14:17,27999.6,0,0,0,163.5
